Altium Designer Pick and Place Locations
C:\Users\Joey\Desktop\Swarm2020\Misaka-PCB\Misaka-v1.0\Project Outputs for Misaka-v1.0\Pick Place for Misaka-v1.0.csv

========================================================================================================================
File Design Information:

Date:       10/02/20
Time:       20:55
Revision:   5783d45bf307b1f2ddfe099b5e66b33023c51368
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"POWER","Header 3X2","TopLayer","HDR2X3","76.8350","110.0580","360","Header, 3-Pin, Dual row"
"Z2","CG0603MLC-05E","TopLayer","BOUR-CG0603-2_V","107.9500","98.2450","270","ESD Protector, 5 V Supply, -40 to 85 degC, 1.6 x 0.8 x 0.55 mm SMD, RoHS, Tape and Reel"
"Z1","CG0603MLC-05E","TopLayer","BOUR-CG0603-2_V","104.7668","98.2450","270","ESD Protector, 5 V Supply, -40 to 85 degC, 1.6 x 0.8 x 0.55 mm SMD, RoHS, Tape and Reel"
"Y2","CSTCE16M0V53-R0","TopLayer","MURA-CSTCE_V-3_V","20.5740","83.6420","0","Ceramic Resonator, 16 MHz with Built-in Capacitance, Thickness Expander Mode, Initial Frequency Tolerance +/- 0.5%, Load Capacity 15 pF, -20 to 80 degC, 3.2 x 1.3 x 1 mm SMD, RoHS, Reel"
"Y1","16MHZ 9PF 10PPM","TopLayer","SMD-3225_4P","57.4040","87.0710","0","贴片晶振"
"X1","Header 2","TopLayer","HDR1X2","73.7870","125.1710","270","Header, 2-Pin"
"UART","Header 3X2","TopLayer","HDR2X3","83.1850","36.1440","270","Header, 3-Pin, Dual row"
"U15","POWERSTEP01","TopLayer","STM-VFQFPN-102_V","27.0680","30.7520","0","System-In-Package Integrating Microstepping Controller and 10 A Power MOSFET, 7.5 to 85 V, -40 to 150 degC, 102-Pin QFN (VFQFN), RoHS, Tray"
"U14","SRV05-4HTG","TopLayer","LFUS-SOT23-6_V","99.8030","54.6860","360","Diode Array, 6 V, 10 A, -40 to 125 degC, 6-Pin SOT-23, RoHS, Tape and Reel"
"U13","SRV05-4HTG","TopLayer","LFUS-SOT23-6_V","66.3000","55.0670","360","Diode Array, 6 V, 10 A, -40 to 125 degC, 6-Pin SOT-23, RoHS, Tape and Reel"
"U12","XB24CZ7RIS-004","TopLayer","DIGI-XB24CZ7RIS-004-Module-37_V","20.5232","184.7340","90","XBee ZB SMT RF Module, 2.4 GHz, 250 kbps, -100 dBm, 2.1 to 3.6 V, 28 mA, 3.1 mW, -40 to 85 degC, 37-Pin Module, RoHS"
"U11","ESP-WROOM-32","TopLayer","OLMX-ESP-WROOM-32","99.8220","21.1580","270","Espressif System, 2.7 to 3.6 V, -40 to 85 degC, 38-Pin SMD"
"U10","WS2812B","TopLayer","ADA-RGB-1655_V","111.1620","192.0130","0","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel
1655"
"U9","WS2812B","TopLayer","ADA-RGB-1655_V","102.9834","192.0130","0","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel
1655"
"U8","WS2812B","TopLayer","ADA-RGB-1655_V","94.8049","192.0130","0","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel
1655"
"U7","WS2812B","TopLayer","ADA-RGB-1655_V","86.6263","192.0130","0","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel
1655"
"U6","WS2812B","TopLayer","ADA-RGB-1655_V","78.4478","192.0130","0","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel
1655"
"U5","WS2812B","TopLayer","ADA-RGB-1655_V","70.2692","192.0130","0","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel
1655"
"U4","WS2812B","TopLayer","ADA-RGB-1655_V","62.0907","192.0130","0","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel
1655"
"U3","WS2812B","TopLayer","ADA-RGB-1655_V","53.9121","192.0130","0","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel
1655"
"U2","WS2812B","TopLayer","ADA-RGB-1655_V","45.7336","192.0130","0","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Tape and Reel
1655"
"U1","LM358DR2G","TopLayer","SOIC-8_150mil","78.7400","91.6430","0","通用运放"
"TX1","黄灯 0603","TopLayer","0603_LED_S1","50.4190","86.6900","180","发光二极管"
"TEST HEADER","Header 3X2","TopLayer","HDR2X3","28.7020","154.5080","90","Header, 3-Pin, Dual row"
"TEST HEADER1","Header 3X2","TopLayer","HDR2X3","18.4150","154.1270","90","Header, 3-Pin, Dual row"
"SW3","3×6贴片轻触开关","TopLayer","TECO-FSMSM-2_V","15.4940","46.0500","360","FSMSM Push Button Switch, 50 mA, -35 to 85 degC, 2-Pin SMD, RoHS, Bulk"
"SW2","3×6贴片轻触开关","TopLayer","TECO-FSMSM-2_V","102.7490","47.9550","180","FSMSM Push Button Switch, 50 mA, -35 to 85 degC, 2-Pin SMD, RoHS, Bulk"
"SW1","3×6贴片轻触开关","TopLayer","TECO-FSMSM-2_V","102.7490","62.0520","180","FSMSM Push Button Switch, 50 mA, -35 to 85 degC, 2-Pin SMD, RoHS, Bulk"
"RX1","黄灯 0603","TopLayer","0603_LED_S1","50.4190","92.4050","180","发光二极管"
"Rp3","1KΩ (102) ±5%","TopLayer","0603_Rx4","106.5510","54.9210","90","贴片排阻"
"Rp2","470Ω (471) ±5%","TopLayer","0603_Rx4","88.0300","9.3550","360","贴片排阻"
"Rp1","1KΩ (102) ±5%","TopLayer","0603_Rx4","50.8240","99.0090","90","贴片排阻"
"RESET-EN1","RC1206JR-070RL","TopLayer","RESC3116X65X40ML10T20","56.8950","120.4720","180","Chip Resistor, 0 Ohm, +/- 5%, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
"RESET1","轻触开关 6*6","TopLayer","430152043836","58.8010","128.7270","180","WS-TASV SMD Tact Switch 6X6 mm"
"RB","100KΩ (1003) ±1%","TopLayer","0603_R","13.4700","18.3640","360","贴片电阻"
"RA","15KΩ (1502) ±1%","TopLayer","0603_R","8.0090","18.4910","360","贴片电阻"
"R26","4.7KΩ (4701) ±1%","TopLayer","0603_R","63.5000","160.4770","270","贴片电阻"
"R25","4.7KΩ (4701) ±1%","TopLayer","0603_R","64.2700","154.1270","180","贴片电阻"
"R24","4.7KΩ (4701) ±1%","TopLayer","0603_R","48.7680","169.3670","180","贴片电阻"
"R23","1KΩ (1001) ±1%","TopLayer","0603_R","53.6813","154.1270","180","贴片电阻"
"R22","4.7KΩ (4701) ±1%","TopLayer","0603_R","58.9757","154.1270","180","贴片电阻"
"R21","39KΩ (3902) ±1%","TopLayer","0603_R","16.5180","22.9360","180","贴片电阻"
"R20","39KΩ (3902) ±1%","TopLayer","0603_R","16.3830","29.6670","180","贴片电阻"
"R19","1KΩ (1001) ±1%","TopLayer","0603_R","88.7710","57.6070","180","贴片电阻"
"R18","1KΩ (1001) ±1%","TopLayer","0603_R","88.6520","52.0190","180","贴片电阻"
"R17","4.7KΩ (4701) ±1%","TopLayer","0603_R","82.6830","55.1940","270","贴片电阻"
"R16","47KΩ (4702) ±1%","TopLayer","0603_R","81.2860","62.6870","360","贴片电阻"
"R15","22KΩ (2202) ±1%","TopLayer","0603_R","81.5400","48.7170","360","贴片电阻"
"R14","10KΩ (1002) ±1%","TopLayer","0603_R","94.6150","34.2390","180","贴片电阻"
"R13","1KΩ (1001) ±1%","TopLayer","0603_R","54.7037","80.9150","0","贴片电阻"
"R12","1MΩ (1004) ±1%","TopLayer","0603_R","20.4470","78.0540","0","贴片电阻"
"R11","10KΩ (1002) ±1%","TopLayer","0603_R","59.4963","80.9150","180","贴片电阻"
"R10","10KΩ (1002) ±1%","TopLayer","0603_R","48.8950","131.1400","180","贴片电阻"
"R9","1MΩ (1004) ±1%","TopLayer","0603_R","60.3170","100.2440","0","贴片电阻"
"R8","10KΩ (1002) ±1%","TopLayer","0603_R","25.9080","83.7690","180","贴片电阻"
"R7","10KΩ (1002) ±1%","TopLayer","0603_R","25.9080","78.0540","180","贴片电阻"
"R6","1KΩ (1001) ±1%","TopLayer","0603_R","83.0580","83.2610","0","贴片电阻"
"R5","10KΩ (1002) ±1%","TopLayer","0603_R","90.4160","93.8020","0","贴片电阻"
"R4","10KΩ (1002) ±1%","TopLayer","0603_R","90.3050","89.1030","0","贴片电阻"
"R3","1KΩ (1001) ±1%","TopLayer","0603_R","101.9810","76.0220","0","贴片电阻"
"R2","22Ω (22R0) ±1%","TopLayer","0603_R","64.7620","100.2440","0","贴片电阻"
"R1","22Ω (22R0) ±1%","TopLayer","0603_R","64.7700","105.1050","180","贴片电阻"
"Q3","S8050","TopLayer","ONSC-SOT-23-3-318-08_V","94.3670","51.2570","360","General Purpose Transistor, NPN Silicon, 3-Pin SOT-23, Pb-Free, Tape and Reel
MMBT3904LT1G"
"Q2","S8050","TopLayer","ONSC-SOT-23-3-318-08_V","94.3670","57.7340","360","General Purpose Transistor, NPN Silicon, 3-Pin SOT-23, Pb-Free, Tape and Reel
MMBT3904LT1G"
"Q1","AO3401A P道沟 X13A15 SOT-23","TopLayer","SOT-23-3L","77.9780","82.1180","90","MOS(场效应管)"
"PIN OUT HEADER 1","Header 22","TopLayer","HDR1X22","60.5790","29.4130","270","Header, 22-Pin"
"P24","Header 6","TopLayer","HDR1X6","37.2110","128.0920","90","Header, 6-Pin"
"P23","Header 6","TopLayer","HDR1X6","102.1080","2.9970","360","Header, 6-Pin"
"P22","Header 8","TopLayer","HDR1X8","37.7190","90.7540","270","Header, 8-Pin"
"P21","Header 8","TopLayer","HDR1X8","57.0230","69.6720","180","Header, 8-Pin"
"P20","Header 6","TopLayer","HDR1X6","81.9150","9.3470","90","Header, 6-Pin"
"P19","Header 8","TopLayer","HDR1X8","34.5440","69.6720","180","Header, 8-Pin"
"P18","Header 17","TopLayer","HDR1X17","43.5610","107.3910","270","Header, 17-Pin"
"P17","Header 8","TopLayer","HDR1X8","12.0650","69.6720","180","Header, 8-Pin"
"P16","Header 8","TopLayer","HDR1X8","2.6670","87.4520","90","Header, 8-Pin"
"P15","Header 17","TopLayer","HDR1X17","34.2900","140.1570","360","Header, 17-Pin"
"P14","Header 8","TopLayer","HDR1X8","2.6670","115.0110","90","Header, 8-Pin"
"P13","Header 4","TopLayer","HDR1X4","4.1910","33.8580","270","Header, 4-Pin"
"P12","Header 4","TopLayer","HDR1X4","10.0330","9.4740","180","Header, 4-Pin"
"P11","S2B-PH-SM4-TB(LF)(SN)","TopLayer","JST-_S2B-PH-SM4-TB(LF)(SN)-2_V","99.0653","173.5120","180","Male Header, Pitch 2 mm, 1 x 2 Position, Height 5.5 mm, -25 to 85 degC, RoHS, Tape and Reel"
"P10","S2B-PH-SM4-TB(LF)(SN)","TopLayer","JST-_S2B-PH-SM4-TB(LF)(SN)-2_V","75.9620","173.5120","180","Male Header, Pitch 2 mm, 1 x 2 Position, Height 5.5 mm, -25 to 85 degC, RoHS, Tape and Reel"
"P9","S2B-PH-SM4-TB(LF)(SN)","TopLayer","JST-_S2B-PH-SM4-TB(LF)(SN)-2_V","110.6170","173.5120","180","Male Header, Pitch 2 mm, 1 x 2 Position, Height 5.5 mm, -25 to 85 degC, RoHS, Tape and Reel"
"P8","S2B-PH-SM4-TB(LF)(SN)","TopLayer","JST-_S2B-PH-SM4-TB(LF)(SN)-2_V","87.5137","173.5120","180","Male Header, Pitch 2 mm, 1 x 2 Position, Height 5.5 mm, -25 to 85 degC, RoHS, Tape and Reel"
"P7","Header 4","TopLayer","HDR1X4","81.9150","24.0790","270","Header, 4-Pin"
"P6","SM04B-PASS-TBT(LF)(SN)","TopLayer","JST-SM04B-PASS-TBT(LF)(SN)_V","43.4990","41.8590","270","Male Header, Pitch 2 mm, 1 x 4 Position, Height 5.7 mm, -25 to 85 degC, RoHS, Tape and Reel"
"P5","带编码器的电机6Pin PH-2","TopLayer","JST-S6B-PH-SM4-TB(LF)(SN)_V","92.3290","157.4290","360","Male Header, Pitch 2 mm, 1 x 6 Position, Height 5.5 mm, -25 to 85 degC
S6B-PH-SM4-TB(LF)(SN)"
"P4","PH2.0-2P，立贴","TopLayer","JST-B2B-PH-SM4-TB-2_V","89.7600","136.4920","180","Male Header, Pitch 2 mm, 1 x 2 Position, Height 6.6 mm, RoHS, Tape and Reel
B2B-PH-SM4-TB(LF)(SN)"
"P3","B2B-PH-SM4-TB(LF)(SN)","TopLayer","JST-B2B-PH-SM4-TB-2_V","78.2320","136.4920","180","Male Header, Pitch 2 mm, 1 x 2 Position, Height 6.6 mm, RoHS, Tape and Reel"
"P2","Header 7","TopLayer","HDR1X7","22.0980","167.2080","180","Header, 7-Pin"
"P1","Header 3","TopLayer","HDR1X3","44.5770","178.1300","180","Header, 3-Pin"
"ON1","翠绿 0805","TopLayer","0805_LED_S1","107.1870","76.0220","180","发光二极管"
"M2","TB6612FNG(O,C,8,EL","TopLayer","TOSH-SSOP24-P-300-0.65A_M","109.3470","160.6040","270","Toshiba Bi-CD Integrated Circuit Silicon Monolithicr, 2.7 to 5.5 V, 1 A, -20 to 85 degC, 24-Pin SSOP, RoHS, Tape and Reel"
"M1","TB6612FNG(O,C,8,EL","TopLayer","TOSH-SSOP24-P-300-0.65A_M","76.0730","160.9850","270","Toshiba Bi-CD Integrated Circuit Silicon Monolithicr, 2.7 to 5.5 V, 1 A, -20 to 85 degC, 24-Pin SSOP, RoHS, Tape and Reel"
"L2","黄灯 0603","TopLayer","0603_LED_S1","89.4080","83.1340","180","发光二极管"
"L1","10uH ±10%","TopLayer","0603_L","13.4620","117.5510","0","贴片电感"
"JTAG","Header 4","TopLayer","HDR1X4","88.9000","2.9970","360","Header, 4-Pin"
"J4","USB 3.1 C TYPE DIP+SMT CONN","TopLayer","632723100011","110.0790","133.6800","90","USB 3.1 Type C Receptacle WR-COM, Horizontal, SMT / THT"
"J3","47346-0001","TopLayer","MOLX-47346-0001-5_V","113.9860","79.1455","90","Micro-USB B Receptacle with Flange, -30 to 85 degC, 5-Pin SMD, RoHS, Tape and Reel"
"J2","USB 3.1 C TYPE DIP+SMT CONN","TopLayer","632723100011","110.0790","115.7251","90","USB 3.1 Type C Receptacle WR-COM, Horizontal, SMT / THT"
"J1","47346-0001","TopLayer","MOLX-47346-0001-5_V","113.9860","97.1003","90","Micro-USB B Receptacle with Flange, -30 to 85 degC, 5-Pin SMD, RoHS, Tape and Reel"
"ICSP2","Header 3X2","TopLayer","HDR2X3","64.3890","89.9920","90","Header, 3-Pin, Dual row"
"ICSP1","Header 3X2","TopLayer","HDR2X3","13.2080","81.1020","90","Header, 3-Pin, Dual row"
"IC4","ATmega16U2-MU","TopLayer","32PG_N","56.7690","93.4210","0","8-bit AVR Microcontroller, 2.7-5.5V, 16KB Flash, 512 Bytes EEPROM, 512 Bytes SRAM, 32-pin VQFN, Industrial Grade (-40°C to 85°C)"
"IC3","LP2985-33DBVR","TopLayer","DBV0005A_M","79.0430","118.6330","0","Single Output Low Noise LDO, 150 mA, Fixed 3.3 V Output, 1.5% Tolerance, 2.2 to 16 V Input, Low IQ, 5-Pin SOT-23 (DBV), -40 to 125 degC, Green (RoHS & no Sb/Br), Tape and Reel"
"IC2","ATmega2560-16AU","TopLayer","100A_M","20.4470","98.8820","0","8-bit AVR Microcontroller, 4.5-5.5V, 16MHz, 256KB Flash, 4KB EEPROM, 8KB SRAM, 86 GPIO pins, 100-pin TQFP, Industrial Grade (-40°C to 85°C), Pb-Free"
"IC1","LD1117S50CTR","TopLayer","SOT-223_N","88.0110","118.6940","180","Low-dropout linear regulator 5V -LM1117IMPX-5.0
Fixed Low Drop Positive Voltage Regulator, 5V, 4-Pin SOT-223, Tape and Reel"
"GROUND-EN1","RC1206JR-070RL","TopLayer","RESC3116X65X40ML10T20","101.7270","86.8170","270","Chip Resistor, 0 Ohm, +/- 5%, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
"FB1","BLM21PG300SN1D","TopLayer","MURA-BLM21-B40-CHIP-2_V2","101.7270","98.3150","270","Chip Ferrite Bead for Power Lines, 30 Ohm, 4000 mA, -55 to 125 degC, 2 x 1.25 x 1.05 mm SMD, Tape and Reel"
"F1","SMD1812P050TF","TopLayer","BOUR-MF-MSMF050-2_V","107.3150","81.9910","180","PTC Resettable Fuse, 15 V, 500 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
"EN2","RC1206JR-070RL","TopLayer","RESC3116X65X40ML10T20","75.1900","47.7010","360","Chip Resistor, 0 Ohm, +/- 5%, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
"EN1","RC1206JR-070RL","TopLayer","RESC3116X65X40ML10T20","67.5700","47.7010","360","Chip Resistor, 0 Ohm, +/- 5%, -55 to 155 degC, 1206 (3216 Metric), RoHS, Tape and Reel"
"EEPROM","24LC02B-I/SN","TopLayer","SOIC-SN8_N","49.9110","161.7470","90","2Kbit, 400kHz, 2.5V, I2C Serial EEPROM, 8-Pin SOIC 150mil, Industrial Temperature"
"D9","M7","TopLayer","SMA(DO-214AC)_S1","42.0370","12.6490","180","二极管"
"D8","M7","TopLayer","SMA(DO-214AC)_S1","41.9100","19.1260","180","二极管"
"D7","白灯 0603","TopLayer","0603_LED_S1","112.5360","62.9410","360","发光二极管"
"D6","白灯 0603","TopLayer","0603_LED_S1","112.5360","57.6070","360","发光二极管"
"D5","白灯 0603","TopLayer","0603_LED_S1","112.5360","52.1460","360","发光二极管"
"D4","白灯 0603","TopLayer","0603_LED_S1","112.5360","46.8120","360","发光二极管"
"D3","CD1206-S01575","TopLayer","BOUR-CD1206-S01575-2_L","65.0290","80.9750","180","75 V Small Signal Switching Diode, 150 mA, 2.5 uA, 1026 Molded Package, RoHS, Tape and Reel"
"D2","CD1206-S01575","TopLayer","BOUR-CD1206-S01575-2_L","49.5300","120.0910","180","75 V Small Signal Switching Diode, 150 mA, 2.5 uA, 1026 Molded Package, RoHS, Tape and Reel"
"D1","M7","TopLayer","SMA(DO-214AC)_S1","88.7730","109.2960","180","二极管"
"C VS","220nF (224) 10% 25V","TopLayer","0603_C","9.7710","30.0480","180","贴片电容"
"C VREG","100nF (104) 10% 50V","TopLayer","0603_C","9.9060","39.8270","360","贴片电容"
"C VREGPOL","EEE-FK1H220P","TopLayer","PNSC-EEE-FK1H220P_L","28.8290","44.5260","180","Cap Aluminum Lytic, 22 uF, +/- 20%, 6.3 to 100 V, -55 to 105 degC, 2-Pin SMD, RoHS, Tape and Reel"
"C VDD","100nF (104) 10% 50V","TopLayer","0603_C","9.7790","35.1280","360","贴片电容"
"C VCC","470nF (474) 10% 25V","TopLayer","0603_C","41.2750","30.0480","180","贴片电容"
"C VCCREG","100nF (104) 10% 50V","TopLayer","0603_C","41.2750","25.4760","180","贴片电容"
"CP2104","CP2104-F03-GM","TopLayer","SLAB-QFN-24-2675x2675TP_M","75.8430","55.3170","90","Single-Chip USB to UART Bridge, 4 Dig I/O Pins, Internal Oscillator, 1024 Bytes EEPROM, -40 to 85 degC, 24-pin QFN"
"C FLY","47nF (473) 10% 50V","TopLayer","0603_C","47.8790","15.6970","270","贴片电容"
"C BOOT","470nF (474) 10% 25V","TopLayer","0603_C","38.7350","5.7910","360","贴片电容"
"Camera","MHDR2X4","TopLayer","MHDR2X4","59.3090","161.7470","90","Header, 4-Pin, Dual row"
"CalibrationHeader","Header 7","TopLayer","HDR1X7","42.9260","161.8740","90","Header, 7-Pin"
"C-VSREG","100nF (104) 10% 50V","TopLayer","0603_C","4.8260","23.4440","360","贴片电容"
"C42","1uF (105) 10% 50V","TopLayer","0603_C","48.3870","154.1270","180","贴片电容"
"C41","1uF (105) 10% 50V","TopLayer","0603_C","54.6100","160.2230","270","贴片电容"
